,season,Lg,Team,W,L,W_L_Pct,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top_WS,TRtg,WP82G
1,2021-22,NBA,Atlanta Hawks*,43,39,0.524,2nd of 5,1.55,97.7,-0.5,116.5,4.5,114.9,2.9,Lost E. Conf. 1st Rnd.,N. McMillan (43-39),"T. Young ,10.0",1.5999999999999943,42.968
2,2020-21,NBA,Atlanta Hawks*,41,31,0.569,1st of 5,2.14,97.6,-1.6,115.7,3.4,113.3,1.0,Lost E. Conf. Finals,"L. Pierce (14-20), N. McMillan (27-11)","C. Capela ,8.2",2.4000000000000057,46.657999999999994
3,2019-20,NBA,Atlanta Hawks,20,47,0.299,5th of 5,-7.71,103.0,2.7,107.2,-3.4,114.8,4.2,No,L. Pierce (20-47),"T. Young ,5.9",-7.599999999999994,24.518
4,2018-19,NBA,Atlanta Hawks,29,53,0.354,5th of 5,-6.06,103.9,3.9,108.1,-2.3,113.9,3.5,No,L. Pierce (29-53),"J. Collins ,6.0",-5.800000000000011,29.028
5,2017-18,NBA,Atlanta Hawks,24,58,0.293,5th of 5,-5.3,98.3,1.0,105.0,-3.6,110.6,2.0,No,M. Budenholzer (24-58),"J. Collins ,5.4",-5.599999999999994,24.026
6,2016-17,NBA,Atlanta Hawks*,43,39,0.524,2nd of 5,-1.23,97.4,1.0,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.,M. Budenholzer (43-39),"D. Howard ,8.3",-0.7999999999999972,42.968
7,2015-16,NBA,Atlanta Hawks*,48,34,0.585,2nd of 5,3.49,97.1,1.3,105.1,-1.3,101.4,-5.0,Lost E. Conf. Semis,M. Budenholzer (48-34),"P. Millsap ,10.1",3.6999999999999886,47.97
8,2014-15,NBA,Atlanta Hawks*,60,22,0.732,1st of 5,4.75,93.9,0.0,108.9,3.3,103.1,-2.5,Lost E. Conf. Finals,M. Budenholzer (60-22),"A. Horford ,8.7",5.800000000000011,60.024
9,2013-14,NBA,Atlanta Hawks*,38,44,0.463,4th of 5,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,Lost E. Conf. 1st Rnd.,M. Budenholzer (38-44),"P. Millsap ,6.7",-0.5,37.966
10,2012-13,NBA,Atlanta Hawks*,44,38,0.537,2nd of 5,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,Lost E. Conf. 1st Rnd.,L. Drew (44-38),"A. Horford ,8.8",0.3999999999999915,44.034000000000006
11,2011-12,NBA,Atlanta Hawks*,40,26,0.606,2nd of 5,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,Lost E. Conf. 1st Rnd.,L. Drew (40-26),"J. Smith ,6.8",3.700000000000003,49.692
12,2010-11,NBA,Atlanta Hawks*,44,38,0.537,3rd of 5,-1.1,89.3,-2.8,106.1,-1.2,107.0,-0.3,Lost E. Conf. Semis,L. Drew (44-38),"A. Horford ,10.1",-0.9000000000000057,44.034000000000006
13,2009-10,NBA,Atlanta Hawks*,53,29,0.646,2nd of 5,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,Lost E. Conf. Semis,M. Woodson (53-29),"A. Horford ,10.9",5.200000000000003,52.972
14,2008-09,NBA,Atlanta Hawks*,47,35,0.573,2nd of 5,1.7,89.6,-2.1,109.3,1.0,107.6,-0.7,Lost E. Conf. Semis,M. Woodson (47-35),"J. Johnson ,7.6",1.7000000000000028,46.986
15,2007-08,NBA,Atlanta Hawks*,37,45,0.451,3rd of 5,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,Lost E. Conf. 1st Rnd.,M. Woodson (37-45),"J. Childress ,7.6",-2.0,36.982
16,2006-07,NBA,Atlanta Hawks,30,52,0.366,5th of 5,-4.86,90.0,-1.9,103.0,-3.5,108.3,1.8,No,M. Woodson (30-52),"J. Childress ,5.5",-5.299999999999997,30.012
17,2005-06,NBA,Atlanta Hawks,26,56,0.317,5th of 5,-4.69,90.4,-0.1,106.4,0.2,111.6,5.4,No,M. Woodson (26-56),"J. Johnson ,6.0",-5.199999999999989,25.994
18,2004-05,NBA,Atlanta Hawks,13,69,0.159,5th of 5,-9.62,91.4,0.5,100.6,-5.5,111.1,5.0,No,M. Woodson (13-69),"J. Childress ,4.6",-10.5,13.038
